"Category Type","Category","Product","Report By","Starting Inventory Price","Starting Inventory Count","Starting Inventory Value","Purchased Units","Purchased Value","Ending Inventory Price","Ending Inventory Count","Ending Inventory Value","Used Units","Used Value","Cost %","Wasted Units","Wasted Values","Waste %"
"Food","Produce","Mushrooms, Shiitake","Pound",8.399999997329513,8.938363835,75.0822562138,5,42,8.400000000181494,12.3040149502,103.3537255813,1.634349,13.728531,"0.01%",0.0228064593,0.19157425812,"1.40%"
"Food","Produce","Mustard Greens","Each",2.729199999995759,23.3533869712,63.7360637217,36,106.5,2.958300000008916,29.3487908251,86.822527898,30.004596,83.413536,"0.04%",0,0,"0.00%"
"Food","Produce","Noodle, Rice Stick 802 Vermicelli (RP)","Bag",4.3594,63.75,277.91175,96,418.5,4.3594,73.125,318.781125,86.625,377.630625,"0.17%",0,0,"0.00%"
"Food","Produce","Onions, Green","Each",0.43650000000023664,817.8199261093,356.9783977468,1440.000002,612,0.42500000000273536,965.755921388,410.44626659,1292.064007,558.532131,"0.25%",0.6759822268,0.28729244639,"0.05%"
"Food","Produce","Onions, Red","Pound",1.0559999999457546,36.9183085158,38.9857337926,200,211.2,1.055999999962425,59.0648052863,62.3724343823,177.853503,187.813299,"0.08%",0.10158729945,0.1072761882192,"0.06%"
"Food","Produce","Onions, Yellow","Pound",0.715000000083326,82.325194353,58.8625139623,500,341.5,0.6750000000397786,207.7765541531,140.2491740534,374.54864,260.11334,"0.12%",0.50793650395,0.34285714016625,"0.13%"
"Food","Produce","Orange Juice Concentrated","Quart",11.245800000029497,14.352564124,161.4060656257,0,0,11.245799999779331,11.352564124,127.6686656256,3,33.7374,"0.01%",0.1410256496,1.58594625027168,"4.70%"
"Food","Produce","Parsley, Fresh","Each",1.25,1,1.25,6,8,1.3333,1,1.3333,6,7.9167,"0.00%",0,0,"0.00%"
"Food","Produce","Peppers, Green","Pound",1.9767000000002355,28.8518358844,57.0314239927,60,140.4,2.339999999997116,29.3432796639,68.6632744134,59.508556,128.76815,"0.06%",0,0,"0.00%"
"Food","Produce","Peppers, Jalapeno","Pound",1.4999999999640086,27.756720939,41.6350814084,20,38,1.9000000001583623,26.2030983571,49.7858868786,21.553623,29.849195,"0.01%",0,0,"0.00%"
"Food","Produce","Peppers, Orange","Pound",2.0045,11,22.0495,44,105.6,0,0,0,55,127.6495,"0.06%",0,0,"0.00%"
"Food","Produce","Peppers, Red","Pound",2.7900000000017324,13.8518358844,38.6466221175,0,0,2.789999999996292,21.8432796639,60.9427502622," -7.991444"," -22.296128"," -0.01%",0,0,"0.00%"
"Food","Produce","Potatoes, Sweet Jumbo","Case",21.98999999999112,2.688986917,59.1308223048,0,0,21.990000000014533,2.064317343,45.3943383726,0.62467,13.736484,"0.01%",0,0,"0.00%"
"Food","Produce","Radish, Daikon","Pound",0.7238000005337352,98.6778961352,71.4230612227,480,388,0.7738000002764371,282.790952207,218.8236388179,295.886944,240.599422,"0.11%",0,0,"0.00%"
"Food","Produce","Radish, Daikon Shredded","Pound",2.78,0.413367075,1.1491604685,0,0,2.78,0.688945125,1.9152674475," -0.275578"," -0.766107","0.00%",0,0,"0.00%"
"Food","Produce","Shallots, Peeled","Pound",4.269999999674997,12.4077809909,52.9812248307,5,21.35,4.269999999438556,11.5572055802,49.3492678274,5.850575,24.981957,"0.01%",0,0,"0.00%"
"Food","Produce","Squash, Chayote","Case",37.25000005118368,0.0009768738,0.0363885491,0,0,37.25,0.0019537476,0.0727770981," -0.000977"," -0.036389","0.00%",0,0,"0.00%"
"Food","Produce","Taro Root","Pound",0,0,0,100,144.55,0,0,0,100,144.55,"0.06%",2.03174601915,3.82984124609775,"2.65%"
"Food","Produce","Tomatoes, Grape","Pint",1.8125,12,21.75,72,161.75,2.2291999999988303,36.3958334325,81.1335918877,47.604167,102.366408,"0.05%",0,0,"0.00%"
"Food","Produce","Yams, Purple","Case",45.3,1.562995639,70.8037024467,3,135.9,45.3,1.688105781,76.4711918793,2.87489,130.232511,"0.06%",0,0,"0.00%"
"Food","Produce","[RP-R] Oxtail Bone Broth — batch","Batch",1524.1,0.0497,75.74777,0,0,1524.1,0.0497,75.74777,0,0,"0.00%",0,0,"0.00%"
"Food","Produce","[RP-R] Veggie Broth","Bag",8.54,195,1665.3," -17"," -126.71",8.54,131,1118.74,47,419.85,"0.19%",0,0,"0.00%"
"Food","Produce","[RP] Chicken & Shrimp Egg Rolls (Tray)","40 Pieces",11.79,4.8468,57.143772,0,0,0,0,0,4.8468,57.143772,"0.03%",0,0,"0.00%"
"Food","Produce","[RP] Oxtail Bone Broth Bag","Bag",12.7,2.485,31.5595," -3.3299"," -44.062529",12.7,3.7772,47.97044," -4.6221"," -60.473469"," -0.03%",0,0,"0.00%"
"Food","Produce","[RP] Pickled Medley - Prepped","Container",22.030000000012,1.71229166598175,37.7217854015985,0,0,22.030000000012,2.0547499991781,45.2661424819182," -0.342458"," -7.544357","0.00%",0,0,"0.00%"
"Food","Produce","[RP] Tray Veggie Egg Rolls","40 Each",12.11,5.7706,69.881966,0,0,0,0,0,5.7706,69.881966,"0.03%",0.41968,5.057144,"7.24%"
"Food","Seafood","Misc. Charges and Credits","",0,0,0,1,10.5,0,0,0,1,10.5,"0.00%",0,0,"0.00%"
"Food","Seafood","Salmon, Trim","Pound",2,234.9408686557,469.8817373114,160,320,2.00000000001092,151.6239316244,303.2478632489,243.316937,486.633874,"0.22%",0,0,"0.00%"
"Food","Seafood","Shrimp, 21/25 P&D","Pound",6.895,65.4,450.933,410,2826.95,6.894999999989042,84.9720000017,585.8819400116,390.428,2692.00106,"1.19%",0.71785713855,4.94962497030225,"0.18%"
